FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
RUTH'S CHRIS STEAK HOUSE,"7315 WISCONSIN AVE. , BETHESDA, MD 20814",5/13/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/10/2016
JAVA NATION,"10516 CONNECTICUT , KENSINGTON, MD 20895",2/2/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,3/23/2016
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",6/9/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,7/28/2016
LEBANESE TAVERNA CAFE,"115 GIBBS STREET A, ROCKVILLE, MD 20850",12/30/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/27/2017
CAPTAIN'S MARKET,"7607 MACARTHUR BLVD. , CABIN JOHN, MD 20818",12/20/2015,SALE TO MINOR,"HEARING; $7,500 FINE + ALERT",3/17/2016
6/12 CONVENIENT MART,"14100 DARNESTOWN ROAD C, DARNESTOWN, MD 20874",12/2/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,12/21/2016
POLLO-MEX,"13436 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20904",7/29/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,10/14/2016
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",3/31/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/4/2016
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",4/7/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,7/1/2016
NEWS EXPRESS,"4853 CORDELL AVENUE , BETHESDA, MD 20814",3/23/2016,SALE TO MINOR,"SETTLED; $1,000.00 + ALERT",4/20/2016
TANDOORI NIGHTS-BETHESDA,"7236 WOODMONT AVENUE , BETHESDA, MD 20814",2/26/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/21/2016
RUBY TUESDAY,"701 RUSSELL AVE. , GAITHERSBURG, MD 20877-2612",6/9/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,7/6/2016
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",9/15/2016,FAILURE TO PURCHASE FROM APPROVED SOURCE,SETTLED; $400.00 + ALERT,10/18/2016
BARKING MAD CAFE,"239 SPECTRUM AVENUE , GAITHERSBURG, MD 20879",7/23/2016,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,8/30/2016
